IsBadBuy,VehicleAge,WheelTypeID,VehOdo,MMRCurrentAuctionCleanPrice,VehBCost,WarrantyCost
0,3,1,89046,8552,7100,1113
0,5,1,93593,9222,7600,1053
0,4,2,73807,5557,4900,1389
0,5,1,65617,2646,4100,630
0,4,2,69367,4384,4000,1020
0,5,2,81054,5827,5600,594
0,5,2,65328,4115,4200,533
0,4,2,65805,4578,4500,825
0,2,2,49921,7371,5600,482
0,2,1,84872,10988,7700,1633
0,4,1,80080,7552,5500,1373
0,8,1,75419,3822,5300,869
0,4,2,71254,7190,7800,686
0,3,1,74722,9910,6900,1623
0,6,2,72132,2690,3300,1455
0,4,1,80736,9159,6800,1243
0,6,2,75156,4572,4900,1923
0,4,2,65925,5191,5700,1703
0,5,1,84498,8766,7100,1243
0,7,2,54586,4388,4800,1551
0,7,1,66536,5629,5800,2003
0,5,2,98130,3542,4100,5613
0,3,2,59789,7214,7700,671
0,2,2,65663,7945,7000,728
0,7,1,88958,6838,8000,2452
0,5,1,76173,8934,8800,920
0,5,1,65393,10109,8400,1411
0,4,1,80064,7792,5600,1763
0,6,1,77694,8441,8300,1923
0,3,2,78241,10367,9500,1389
0,5,1,57723,7040,7000,671
0,4,1,78434,13560,10700,1272
0,4,2,76304,6341,6100,1506
0,6,1,55711,3894,5100,971
0,5,2,76586,9943,8200,1389
0,3,2,65403,9147,6700,825
0,6,1,68990,8221,8500,1215
0,2,2,80949,10256,7900,2152
0,6,1,52774,9234,11335,754
0,7,1,59858,3573,4600,1220
0,7,1,82146,7591,9400,1283
0,4,2,58024,6101,5600,671
0,4,2,40919,7436,7700,623
0,5,2,87643,4833,4600,723
0,5,2,80968,4823,4600,1243
0,4,1,50308,10454,9635,1086
0,3,1,80795,11131,7700,1633
0,4,1,62239,12166,9135,1215
0,4,1,64060,8174,7535,728
0,8,2,77677,4139,4200,1103
0,7,1,58888,5106,6300,971
0,4,2,63557,9725,7100,728
0,5,1,89705,7792,6100,1763
0,6,1,64511,3280,4100,630
0,4,1,80608,5421,5800,1373
0,3,2,35796,6336,5900,462
0,4,1,83501,9170,7300,1113
0,3,1,70148,11627,7300,686
0,4,2,76052,6275,4900,803
0,4,1,72479,5373,4600,569
0,5,2,84542,4578,4500,983
0,5,1,61081,8553,5900,1020
0,4,2,43898,5860,5600,623
0,4,1,57338,10567,7500,588
0,5,2,79957,7400,7700,1389
0,7,1,78559,8201,8000,986
0,3,1,48386,9667,7200,623
0,7,1,80117,8899,8100,1413
0,6,1,65795,3910,3100,1020
0,5,2,51145,7303,7500,1583
0,6,1,88366,3482,4400,983
0,5,1,55909,9344,8500,1169
0,5,1,86702,14974,10100,853
0,4,1,81424,9140,6900,853
0,6,2,65379,6830,7700,630
0,6,1,74954,8150,8900,1155
0,8,1,49328,6130,7400,1134
0,7,2,73810,3600,4100,1455
0,3,2,43412,7254,5800,975
0,6,1,78412,4626,5100,1155
0,6,1,74026,9370,10200,920
0,6,1,80491,9222,9400,983
0,5,2,85003,6079,5600,1633
0,4,2,65711,6429,4700,1215
