VehicleAge,VehBCost,WheelTypeID,VehOdo,MMRCurrentAuctionCleanPrice,WarrantyCost,IsBadBuy
5,4010,1,94774,4125,1774,0
1,7700,2,54366,8711,920,0
6,4600,2,84172,4283,2452,0
5,4810,2,56032,4130,505,0
5,6600,1,70081,8085,1740,1
6,7785,1,66795,7726,1508,1
6,5465,2,59023,5936,1054,1
5,5970,2,78545,5431,1623,0
4,6335,2,76720,7734,1974,0
3,4890,1,84935,5668,983,1
3,6235,1,72487,6570,569,1
5,4200,1,88033,4293,723,0
4,8160,1,84253,8894,1243,0
8,3805,1,97722,5499,2939,1
3,4935,2,66358,4751,533,0
5,8185,1,84284,8213,1503,1
3,6770,2,69078,7405,1118,0
5,10195,1,94306,12730,1485,0
5,6395,1,72753,6821,1974,1
2,6200,2,72128,8749,1506,0
3,4200,2,85085,5468,983,0
5,5000,1,89828,6674,2412,1
5,4750,2,70268,4338,1155,1
4,10325,1,80399,10696,594,0
8,6040,1,89692,5080,2063,1
5,8100,1,97258,7230,765,1
7,3865,3,78666,4201,2274,1
3,7940,1,91814,13004,1341,1
6,11055,1,89307,10592,1803,0
9,3755,1,78324,2998,1220,1
5,10075,1,58880,9490,1334,0
4,7200,1,68558,0,1215,1
6,7460,1,63784,7648,1313,1
4,7545,1,85866,9257,1243,1
5,5325,2,68147,4468,1215,0
3,8805,2,65321,9057,1215,1
4,6680,2,59622,5826,671,0
6,8290,1,70292,7800,1389,1
5,6400,1,81920,8666,2152,0
1,6300,2,50940,7737,1086,0
3,7200,2,77459,8373,1038,0
2,10125,1,65241,11267,1215,0
7,8425,1,90617,7085,1641,1
4,5735,2,87429,7574,1633,0
3,7805,1,75803,8438,1974,1
4,8050,1,78048,7914,2091,0
2,8800,1,81803,14293,2152,0
5,6000,2,79814,6784,1974,0
6,3340,2,87063,3226,1543,0
5,6135,1,85989,7244,983,0
6,4810,1,49409,3417,1769,1
5,7295,1,69901,8378,1508,0
6,5750,1,89539,5873,2152,1
8,5200,2,84701,3231,1803,1
4,6305,1,57218,6609,1500,0
2,5900,2,18923,6367,462,0
2,7535,1,70456,10560,1506,0
6,4950,2,62826,3893,533,1
4,9500,1,68228,10335,1606,0
6,4495,2,30698,4389,762,1
4,4200,1,92912,7027,1485,1
4,4310,2,83955,5758,1243,0
4,5000,2,81653,6447,1113,1
6,10860,1,63712,11220,1508,1
6,9600,1,85852,10383,2063,0
5,3665,1,98302,4491,765,1
1,8800,2,56042,9168,920,0
3,5195,2,54038,6045,671,0
8,3950,2,101397,5057,2390,0
7,8645,1,53996,5644,805,1
2,9350,1,64152,11346,1215,0
5,8410,1,90020,8301,620,0
7,4695,1,78076,4551,1689,1
3,7330,1,68642,8487,728,1
6,3520,1,96061,3181,1341,1
8,4205,1,90381,4027,1641,1
2,8287,1,72701,10145,803,1
5,5700,1,43758,5350,693,0
4,8460,1,63361,7942,1703,0
3,6165,2,52686,5980,505,1
5,5735,1,59895,4744,920,1
3,7800,1,64687,8806,728,1
5,8265,1,67741,3996,1020,0
7,7100,2,86122,4823,894,1
2,8825,1,81973,0,2735,0
9,5400,1,98449,5269,2074,1
8,4195,1,65506,3497,1125,1
5,8150,1,90047,8587,2206,0
1,8050,1,36459,9382,762,1
3,6000,2,51266,5311,671,0
4,5110,1,69371,5179,1118,1
2,7450,2,47263,8231,693,1
4,6745,2,75910,8170,1038,0
5,5850,1,75520,6870,1506,1
2,6400,2,38916,7136,462,0
5,7060,1,80743,7386,1373,1
4,7035,2,81203,7978,2152,0
3,5000,2,59669,6081,1086,0
5,5400,2,39540,5346,582,1
